City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
217,sinabang,2.4803,96.3801,82.76,77,56,2.48,ID,1711677982
218,douz,33.4663,9.0203,64.89,21,72,8.03,TN,1711677982
219,akdagmadeni,39.6603,35.8836,48.99,54,100,3.78,TR,1711677982
220,karak city,31.1637,35.762,63.59,28,100,5.68,JO,1711677983
221,baruun-urt,46.6806,113.2792,20.88,40,4,24.81,MN,1711677983
222,warmbad,-28.45,18.7333,76.51,39,0,5.99,NA,1711677983
223,prince rupert,54.3161,-130.3201,55.49,38,100,12.66,CA,1711677957
224,conde,-7.2597,-34.9075,80.06,94,75,4.61,BR,1711677983
225,nar'yan-mar,67.6713,53.087,3.11,96,100,8.99,RU,1711677984
226,murun-kuren,49.6342,100.1625,38.34,52,5,13.91,MN,1711677825
227,cockburn town,21.4612,-71.1419,74.89,66,0,9.08,TC,1711677984
228,fray luis beltran,-39.3167,-65.7667,74.55,42,5,11.01,AR,1711677984
229,hollins,37.3413,-79.9431,50.38,35,0,13.8,US,1711677984
230,bentiu,9.2333,29.8333,82.47,15,53,4.74,SS,1711677984
231,telimele,10.9167,-13.3333,71.24,66,1,1.57,GN,1711677985
232,fort st. john,56.2499,-120.8529,31.89,43,75,0.0,CA,1711677985
233,basciftlik,40.5469,37.1692,46.33,67,100,5.95,TR,1711677985
234,challapata,-18.9,-66.7667,48.58,54,9,9.89,BO,1711677985
235,as sulayyil,20.4607,45.5779,68.25,23,44,6.13,SA,1711677985
236,uige,-7.6087,15.0613,68.74,98,100,3.51,AO,1711677985
237,keflavik,64.0049,-22.5624,30.63,69,0,8.05,IS,1711677986
238,lihue,21.9789,-159.3672,81.64,67,0,19.57,US,1711677986
239,noshiro,40.2039,140.0242,50.83,95,100,16.15,JP,1711677986
240,bratsk,56.1325,101.6142,16.29,76,33,4.25,RU,1711677986
241,antofagasta,-23.65,-70.4,65.48,79,41,3.71,CL,1711677909
242,canavieiras,-15.675,-38.9472,76.51,94,100,3.22,BR,1711677761
243,maksatikha,57.797,35.8825,36.77,97,100,7.61,RU,1711677986
244,port alfred,-33.5906,26.891,65.17,96,25,1.01,ZA,1711677987
245,magadan,59.5667,150.8,24.87,86,84,3.31,RU,1711677987
246,wadgaon,18.7333,73.65,78.4,56,71,5.32,IN,1711677987
247,puerto ayora,-0.7393,-90.3518,78.82,88,54,5.28,EC,1711677988
